order_id,line,item_number,customer_id,order_date,ship_date,qty,unit_price
SO-000021,3,FAS-00599,CUST-122,2025-06-14,2025-06-16,5,3.09
SO-000022,1,ELE-00705,CUST-114,2024-11-15,2024-11-20,1,32.79
SO-000023,1,RM-00510,CUST-001,2025-10-14,2025-10-15,1,16.33
SO-000023,2,FIT-00738,CUST-001,2025-02-01,2025-02-03,6,22.95
SO-000023,3,ELE-01269,CUST-001,2023-02-06,2023-02-10,5,10.88
SO-000024,1,MEC-00970-A,CUST-118,2025-10-04,2025-10-08,9,11.63
SO-000025,1,FAS-00760,CUST-114,2025-06-01,2025-06-02,4,1.25
SO-000025,2,CON-00630,CUST-114,2023-04-12,2023-04-17,1,7.81
SO-000026,1,FAS-01127,CUST-042,2025-01-10,2025-01-15,8,1.7
SO-000026,2,MEC-00351,CUST-042,2025-06-23,2025-06-27,1,55.44
SO-000027,1,ELE-01215,CUST-163,2024-12-09,2024-12-11,3,35.49
SO-000027,2,RM-00724,CUST-163,2025-05-05,2025-05-08,7,9.8
SO-000028,1,RM-00844,CUST-016,2023-03-03,2023-03-06,4,27.16
SO-000028,2,RM-00362,CUST-016,2024-12-11,2024-12-12,10,15.53
SO-000028,3,HDW-00778,CUST-016,2025-02-19,2025-02-20,11,3.9
SO-000029,1,MEC-00156,CUST-072,2025-08-20,2025-08-21,3,55.35
SO-000029,2,FAS-00803,CUST-072,2024-04-10,2024-04-12,6,2.82
SO-000029,3,FAS-00673,CUST-072,2023-10-19,2023-10-24,2,3.4
SO-000030,1,SVC-00915,CUST-140,2026-01-17,2026-01-19,3,7.58
SO-000031,1,MEC-01183,CUST-031,2023-12-11,2023-12-13,2,152.89
SO-000031,2,FAS-00060,CUST-031,2023-11-10,2023-11-14,1,3.84
SO-000031,3,CON-01070,CUST-031,2025-01-16,2025-01-20,1,2.9
SO-000032,1,ELE-00460,CUST-188,2025-05-25,2025-05-26,1,14.68
SO-000033,1,FIT-00033,CUST-024,2023-01-28,2023-02-01,3,4.77
SO-000033,2,RM-00454,CUST-024,2023-06-17,2023-06-19,4,74.22
SO-000034,1,FIT-01294,CUST-151,2025-08-30,2025-09-02,4,5.91
SO-000035,1,MEC-00351,CUST-084,2024-08-17,2024-08-20,2,53.88
SO-000035,2,MEC-00819,CUST-084,2024-06-08,2024-06-10,28,20.96
SO-000036,1,ELE-00040,CUST-028,2023-04-07,2023-04-10,1,44.63
SO-000036,2,ELE-01137,CUST-028,2023-03-05,2023-03-08,5,29.93
SO-000036,3,ELE-00069,CUST-028,2024-10-31,2024-11-01,1,17.51
SO-000037,1,MEC-00908,CUST-056,2025-08-29,2025-09-01,7,65.24
SO-000038,1,MEC-00373,CUST-030,2025-02-12,2025-02-17,2,31.64
SO-000039,1,ELE-00610,CUST-137,2023-12-14,2023-12-18,1,18.97
SO-000039,2,FAS-00799,CUST-137,2024-11-02,2024-11-06,4,11.77
SO-000040,1,RM-00436,CUST-073,2025-12-17,2025-12-22,7,17.85
SO-000040,2,CON-01284,CUST-073,2023-12-11,2023-12-14,5,11.35
SO-000040,3,SVC-00346,CUST-073,2023-10-16,2023-10-20,1,35.21
SO-000041,1,ELE-00863,CUST-062,2023-06-16,2023-06-21,5,105.19
SO-000042,1,RM-00646,CUST-173,2025-04-16,2025-04-18,5,32.68
SO-000043,1,FAS-00861,CUST-180,2025-07-05,2025-07-09,5,3.4
SO-000043,2,RM-00472,CUST-180,2024-09-23,2024-09-26,10,13.46
SO-000044,1,FAS-01139,CUST-033,2024-01-27,2024-01-29,15,1.16
SO-000044,2,MEC-00015-C,CUST-033,2023-01-01,2023-01-02,109,145.72
SO-000044,3,FIT-01014,CUST-033,2023-03-11,2023-03-15,1,3.47
SO-000045,1,MEC-01057,CUST-030,2025-01-09,2025-01-13,2,153.38
SO-000046,1,MEC-00493,CUST-070,2025-09-04,2025-09-09,1,83.4
SO-000046,2,RM-01100,CUST-070,2024-10-23,2024-10-25,6,28.31
SO-000046,3,CON-00895,CUST-070,2024-03-04,2024-03-05,9,8.71
SO-000047,1,CON-00845,CUST-107,2025-02-28,2025-03-03,1,9.84
SO-000047,2,ELE-00610,CUST-107,2024-03-11,2024-03-12,2,25.32
SO-000048,1,ELE-00863,CUST-114,2024-12-21,2024-12-23,7,88.49
SO-000049,1,MEC-01275-A,CUST-125,2023-11-09,2023-11-13,8,71.34
SO-000049,2,FIT-00081,CUST-125,2025-08-13,2025-08-15,6,9.79
SO-000050,1,MEC-00493,CUST-050,2025-04-04,2025-04-07,18,72.58
SO-000050,2,MEC-00156,CUST-050,2025-03-14,2025-03-17,2,53.71
SO-000050,3,FIT-00525,CUST-050,2025-03-30,2025-04-01,10,14.22
SO-000051,1,ELE-01148,CUST-027,2025-06-18,2025-06-23,8,15.96
SO-000051,2,FIT-00247,CUST-027,2025-04-12,2025-04-17,29,18.29
SO-000051,3,SVC-00346,CUST-027,2024-04-21,2024-04-22,3,28.91
SO-000052,1,ELE-00705,CUST-062,2026-03-01,2026-03-04,1,22.97
SO-000053,1,RM-00987,CUST-146,2025-09-01,2025-09-04,3,17.41
SO-000054,1,MEC-01025,CUST-172,2025-03-10,2025-03-13,2,34.33
SO-000054,2,SVC-00904,CUST-172,2024-09-19,2024-09-20,5,9.24
SO-000055,1,FAS-00826,CUST-121,2024-01-07,2024-01-10,2,3.52
SO-000055,2,FAS-00060,CUST-121,2025-01-05,2025-01-09,9,2.75
SO-000055,3,FAS-00250,CUST-121,2023-07-23,2023-07-26,1,2.08
SO-000056,1,MEC-00152,CUST-177,2025-11-10,2025-11-13,4,33.26
SO-000056,2,ELE-00689,CUST-177,2026-01-19,2026-01-21,1,26.68
SO-000057,1,SVC-00346,CUST-159,2025-12-05,2025-12-10,4,28.78
SO-000057,2,ELE-00771,CUST-159,2024-05-08,2024-05-10,5,23.15
SO-000058,1,MEC-00726,CUST-105,2025-03-25,2025-03-26,33,92.72
SO-000058,2,SVC-00346,CUST-105,2024-11-22,2024-11-25,5,29.77
SO-000058,3,HDW-00167,CUST-105,2024-03-30,2024-04-04,11,25.95
SO-000059,1,ELE-00600,CUST-158,2023-09-08,2023-09-12,9,40.45
SO-000059,2,MEC-00189,CUST-158,2023-01-03,2023-01-06,4,31.63
SO-000059,3,HDW-00167,CUST-158,2025-02-22,2025-02-27,1,31.38
SO-000060,1,ELE-00771,CUST-043,2026-02-15,2026-02-17,13,27.93
SO-000060,2,FIT-00679,CUST-043,2023-06-23,2023-06-26,1,28.48
SO-000061,1,MEC-00015-4,CUST-125,2024-07-21,2024-07-26,72,136.94
SO-000062,1,ELE-00961,CUST-072,2023-07-01,2023-07-06,3,36.28
SO-000062,2,RM-00635,CUST-072,2025-06-24,2025-06-26,3,7.46
SO-000062,3,MEC-01057,CUST-072,2024-05-03,2024-05-06,7,106.04
SO-000063,1,ELE-00903,CUST-115,2023-09-13,2023-09-18,4,49.85
SO-000063,2,FIT-01294,CUST-115,2026-02-19,2026-02-20,8,5.1
SO-000063,3,ELE-00771,CUST-115,2025-05-02,2025-05-05,3,20.45
SO-000064,1,ELE-00919,CUST-018,2024-11-21,2024-11-25,8,24.66
SO-000064,2,ELE-01268,CUST-018,2023-07-22,2023-07-24,5,39.11
SO-000064,3,RM-00206,CUST-018,2025-10-19,2025-10-22,28,5.96
SO-000065,1,HDW-00629,CUST-196,2025-05-24,2025-05-26,8,1.9
SO-000066,1,MEC-01007,CUST-123,2023-09-07,2023-09-12,4,30.22
SO-000066,2,FIT-00021,CUST-123,2023-07-12,2023-07-17,6,5.52
SO-000067,1,ELE-00140,CUST-114,2024-02-06,2024-02-07,2,122.77
SO-000067,2,RM-00362,CUST-114,2024-03-14,2024-03-18,1,13.53
SO-000068,1,ELE-00069,CUST-066,2023-10-15,2023-10-19,1,13.75
SO-000068,2,HDW-00712,CUST-066,2025-12-14,2025-12-17,8,7.99
SO-000068,3,SVC-00872,CUST-066,2024-08-04,2024-08-09,11,6.76
SO-000069,1,MEC-00737,CUST-168,2024-02-17,2024-02-20,4,43.72
SO-000069,2,SVC-00022,CUST-168,2025-05-03,2025-05-05,3,21.21
SO-000070,1,CON-00181,CUST-153,2025-11-28,2025-12-02,3,11.95
SO-000071,1,ELE-01215,CUST-162,2023-12-17,2023-12-19,13,26.43
SO-000071,2,RM-00635,CUST-162,2025-02-21,2025-02-24,14,5.83
SO-000072,1,MEC-00726,CUST-015,2026-03-23,2026-03-25,34,131.13
SO-000072,2,MEC-00114,CUST-015,2023-11-03,2023-11-06,3,184.11
SO-000072,3,RM-00098,CUST-015,2023-06-07,2023-06-12,1,9.67
SO-000073,1,RM-00844,CUST-174,2025-06-21,2025-06-23,2,27.17
SO-000073,2,ELE-00069,CUST-174,2025-03-11,2025-03-12,2,12.13
SO-000074,1,FAS-00064,CUST-068,2025-01-16,2025-01-20,6,0.97
SO-000074,2,MEC-00265-C,CUST-068,2024-01-19,2024-01-22,2,25.73
SO-000075,1,MEC-00493,CUST-066,2024-10-16,2024-10-18,5,103.46
SO-000075,2,FAS-00222,CUST-066,2023-03-11,2023-03-13,3,4.81
SO-000076,1,FAS-01197,CUST-083,2024-07-29,2024-08-01,2,0.73
SO-000076,2,RM-00646,CUST-083,2025-10-12,2025-10-13,2,48.06
SO-000077,1,FIT-01014,CUST-006,2023-07-29,2023-08-03,7,3.64
SO-000077,2,FAS-00789-A,CUST-006,2024-12-08,2024-12-09,2,3.66
SO-000078,1,FIT-00876,CUST-081,2024-11-02,2024-11-04,2,5.92
SO-000079,1,RM-00997,CUST-029,2024-02-13,2024-02-16,4,14.89
SO-000079,2,ELE-01148,CUST-029,2025-09-18,2025-09-22,3,18.31
SO-000080,1,FAS-00064,CUST-161,2024-12-15,2024-12-16,17,1.46
SO-000081,1,FAS-00789-B,CUST-006,2025-01-06,2025-01-08,2,3.28
SO-000081,2,FAS-00799,CUST-006,2023-07-17,2023-07-18,3,7.53
SO-000082,1,SVC-01193,CUST-183,2024-11-03,2024-11-06,5,17.15
SO-000082,2,ELE-00147,CUST-183,2025-03-20,2025-03-25,4,21.18
SO-000083,1,FIT-00832,CUST-068,2023-09-25,2023-09-27,3,5.12
SO-000083,2,ELE-00919,CUST-068,2023-05-12,2023-05-16,7,19.84
SO-000083,3,RM-00436,CUST-068,2024-03-22,2024-03-26,3,21.24
SO-000084,1,RM-00051,CUST-164,2025-05-18,2025-05-22,2,11.68
SO-000085,1,SVC-00672,CUST-007,2025-11-03,2025-11-04,5,14.55
SO-000085,2,MEC-00189,CUST-007,2024-11-01,2024-11-04,5,28.01
SO-000085,3,ELE-00557,CUST-007,2024-10-08,2024-10-09,2,17.6
SO-000086,1,ELE-00355,CUST-008,2025-01-04,2025-01-06,2,13.9
SO-000087,1,RM-00051,CUST-017,2023-05-13,2023-05-15,12,11.42
SO-000087,2,FAS-01011,CUST-017,2023-05-03,2023-05-04,5,1.82
SO-000088,1,FAS-00060,CUST-177,2025-07-07,2025-07-11,10,2.6
SO-000089,1,CON-00181,CUST-016,2025-05-06,2025-05-07,4,18.55
SO-000090,1,HDW-00370,CUST-175,2026-03-22,2026-03-26,5,1.48
SO-000091,1,CON-01070,CUST-055,2025-03-09,2025-03-12,2,2.66
SO-000091,2,RM-00454,CUST-055,2025-03-04,2025-03-07,2,49.6
SO-000092,1,FAS-01127,CUST-024,2024-07-01,2024-07-02,9,1.67
SO-000093,1,HDW-00778,CUST-090,2024-04-22,2024-04-24,1,3.81
SO-000094,1,FAS-00975,CUST-183,2023-08-05,2023-08-07,1,1.34
SO-000095,1,FIT-00479,CUST-172,2026-01-18,2026-01-19,3,13.76
SO-000096,1,SVC-00346,CUST-167,2025-04-17,2025-04-22,4,28.98
SO-000096,2,ELE-01268,CUST-167,2024-06-09,2024-06-13,1,56.81
SO-000097,1,HDW-00240,CUST-063,2024-05-21,2024-05-23,4,4.93
SO-000097,2,HDW-00520,CUST-063,2025-09-15,2025-09-17,3,4.39
SO-000097,3,FIT-00247,CUST-063,2023-01-20,2023-01-25,45,18.16
SO-000098,1,SVC-00341,CUST-057,2023-09-01,2023-09-05,2,6.5
SO-000098,2,HDW-00018-B,CUST-057,2025-09-04,2025-09-08,20,2.54
SO-000099,1,RM-00646,CUST-038,2026-03-03,2026-03-06,2,31.63
SO-000100,1,FIT-00247,CUST-125,2025-07-09,2025-07-14,11,16.14
SO-000100,2,ELE-01215,CUST-125,2024-03-01,2024-03-05,3,25.48
SO-000100,3,FIT-01191,CUST-125,2023-07-11,2023-07-13,3,19.58
SO-000101,1,HDW-00344,CUST-004,2023-06-23,2023-06-27,4,7.81
