item_number,description,uom,purchase_uom,uom_conversion,item_class,standard_cost,reorder_point,safety_stock,master_lead_time_days,primary_supplier_id,status,created_by,created_date,last_updated
MEC-00075,Pillow Block 5HP,EA,EA,,Mechanical,11.08,3.0,3.0,70,SUP-001,ACTIVE,jbuyer,2018-11-12,2022-06-20
MEC-00076,Bearing 1HP,EA,EA,,Mechanical,111.27,136.0,101.0,59,SUP-007,ACTIVE,pmgr,2021-04-15,2022-09-24
FAS-00077,3/4-20 x 3/8 SHCS ZP,EA,EA,,Fasteners,0.51,221.0,188.0,7,SUP-015,ACTIVE,recvclerk,2021-03-31,2022-04-05
ELE-00078,Power Supply NEMA 12,EA,EA,,Electrical,19.06,14.0,18.0,12,SUP-014,ACTIVE,kbuyer,2020-12-24,2021-08-11
HDW-00079,Set Screw 1/2,EA,EA,,Hardware,2.19,57.0,35.0,10,SUP-027,ACTIVE,kbuyer,2017-06-30,2020-08-05
FAS-00080,5/8-28 x 5/16 FHCS GR8,EA,EA,,Fasteners,2.5,72.0,80.0,35,SUP-041,ACTIVE,scoord,2018-06-04,2018-07-05
FIT-00081,Pneu Fitting SAE-4,EA,EA,,Fittings,5.73,271.0,156.0,35,SUP-010,ACTIVE,pmgr,2018-07-02,2019-11-28
HDW-00082,Set Screw 5/16,EA,EA,,Hardware,0.67,2330.0,859.0,56,SUP-041,ACTIVE,scoord,2018-05-02,2022-10-23
MEC-00083,Timing Belt 2HP,EA,EA,,Mechanical,70.7,19.0,13.0,53,SUP-025,ACTIVE,jbuyer,2018-01-29,2022-08-04
RM-00084,"6061 Extrusion Angle 3""",EA,EA,,Raw Material,8.87,7.0,7.0,8,SUP-006,ACTIVE,pmgr,2015-07-11,2021-06-12
RM-00085,"6063 Tube Flat Bar 1""",EA,EA,,Raw Material,84.49,34.0,33.0,39,SUP-012,ACTIVE,pmgr,2018-02-02,2019-04-04
FAS-00086-A,1/8-20 x 3/8 HHCS GR5,EA,EA,,Fasteners,0.84,113.0,135.0,61,SUP-041,ACTIVE,scoord,2017-04-08,2022-09-29
FAS-00086-B,GR5 .125-20x.375 HHCS,EA,EA,,Fasteners,0.84,113.0,135.0,61,SUP-041,ACTIVE,kbuyer,2022-04-01,2022-09-14
ELE-00087,Contactor 12AWG,EA,EA,,Electrical,3.36,35.0,24.0,68,SUP-008,ACTIVE,recvclerk,2017-09-18,2020-06-03
MEC-00088,Sprocket 7.5HP,EA,EA,,MISC,59.22,9.0,6.0,27,SUP-013,ACTIVE,recvclerk,2019-06-26,2022-04-05
ELE-00089,Enclosure 480V UL,EA,EA,,Electrical,178.33,16.0,13.0,10,,ACTIVE,pmgr,2016-05-21,2021-06-10
MEC-00090,V-Belt 1750RPM,EA,EA,,Mechanical,188.46,4.0,4.0,17,SUP-007,ACTIVE,kbuyer,2016-04-10,2021-01-16
FAS-00091,3/8-20 x 1 HSHCS GR8,EA,EA,,Fasteners,,207.0,179.0,30,SUP-033,ACTIVE,scoord,2018-03-06,2018-07-22
ELE-00092,Relay 24VDC REV-B,EA,EA,,Electrical,10.67,70.0,88.0,37,,ACTIVE,kbuyer,2019-04-29,2020-12-11
FIT-00093,"Flow Control 1/4"" NPT",EA,EA,,Fittings,13.38,24.0,24.0,31,SUP-034,ACTIVE,jbuyer,2018-11-17,2021-05-27
MEC-00094,Sprocket 1750RPM,EA,EA,,Mechanical,21.24,44.0,24.0,13,SUP-019,ACTIVE,kbuyer,2015-06-19,2022-07-11
FAS-00095-A,5/16-20 x 5/16 BHCS SS,EA,EA,,Fasteners,,652.0,486.0,30,SUP-021,ACTIVE,pmgr,2016-02-03,2019-12-02
FAS-00095-B,SS .3125-20x.3125 BHCS,EA,EA,,Fasteners,1.04,652.0,486.0,30,,ACTIVE,jbuyer,2020-05-04,2021-12-09
FAS-00095-C,SS .3125-20x.3125 BHCS,EA,EA,,Fasteners,,652.0,486.0,30,SUP-021,ACTIVE,kbuyer,2020-11-13,2021-04-11
FAS-00095-4,.3125-20x.3125 BHCS SS,EA,EA,,Fasteners,,652.0,486.0,30,SUP-021,ACTIVE,scoord,2020-02-04,2021-02-27
FIT-00096,Flow Control SAE-4,EA,EA,,Fittings,1.68,704.0,633.0,27,SUP-004,ACTIVE,scoord,2015-05-14,2015-11-12
RM-00097,"6063 Tube Flat Bar 1/2""",EA,EA,,Raw Material,7.62,,10.0,40,SUP-006,ACTIVE,kbuyer,2015-11-29,2020-11-28
RM-00098,"5052 Sheet Plate 6""",EA,EA,,Raw Material,7.39,13.0,11.0,12,SUP-024,ACTIVE,scoord,2015-07-17,2022-09-15
SVC-00099,Galvanize Black,EA,EA,,Outside Service,26.41,124.0,84.0,61,SUP-035,ACTIVE,recvclerk,2015-07-11,2017-10-10
CON-00100,Flap Disc 44LB,EA,EA,,Consumables,12.03,29.0,34.0,35,SUP-028,ACTIVE,recvclerk,2015-03-11,2017-10-18
FAS-00101,1/2-18 x 3/8 HSHCS ZP,EA,EA,,Fasteners,1.1,634.0,390.0,28,SUP-042,ACTIVE,scoord,2018-07-03,2021-08-05
MEC-00102,Pillow Block 10HP,EA,EA,,Mechanical,11.69,140.0,92.0,69,SUP-031,ACTIVE,pmgr,2017-11-27,2022-07-18
SVC-00103,Powder Coat Type II,EA,EA,,Outside Service,,33.0,38.0,58,SUP-023,ACTIVE,pmgr,2015-09-21,2016-07-18
HDW-00104-A,Cotter Pin 1/4,EA,EA,,Hardware,1.04,109.0,77.0,16,SUP-027,ACTIVE,kbuyer,2018-06-03,2019-03-24
HDW-00104-B,.25 Cotter Pin,EA,EA,,Hardware,1.04,109.0,77.0,16,SUP-027,ACTIVE,pmgr,2021-12-02,2022-09-03
FAS-00105,3/16-24 x 3/8 HSHCS GR8,EA,EA,,Fasteners,1.93,2084.0,585.0,17,SUP-003,ACTIVE,kbuyer,2017-04-04,2018-05-21
ELE-00106,Wire 14AWG,EA,EA,,Electrical,86.11,3.0,2.0,7,SUP-038,ACTIVE,scoord,2020-10-22,2022-11-08
MEC-00107,Servo Motor 2HP,EA,EA,,Mechanical,115.05,64.0,65.0,45,SUP-025,ACTIVE,jbuyer,2016-01-31,2021-02-15
RM-00108,"6061 Extrusion Angle 1""",EA,EA,,Raw Material,6.86,180.0,162.0,31,SUP-043,ACTIVE,recvclerk,2016-08-10,2020-09-12
CON-00109,Flux Core Wire 1GAL,OZ,GAL,,Consumables,0.0033,365.0,292.0,32,SUP-040,ACTIVE,recvclerk,2018-08-28,2021-11-27
ELE-00110,Power Supply 3PH,EA,EA,,Electrical,5.25,4.0,6.0,42,SUP-008,ACTIVE,kbuyer,2021-02-19,2021-06-16
MEC-00111,Timing Belt 1750RPM,EA,EA,,Mechanical,162.76,12.0,11.0,44,SUP-025,ACTIVE,kbuyer,2015-02-02,2020-10-20
MEC-00112,V-Belt 5HP,EA,EA,,Mechanical,28.81,5.0,2.0,7,SUP-037,ACTIVE,pmgr,2018-10-29,2021-04-01
ELE-00113,Photo Sensor 12AWG,EA,EA,,Electrical,13.78,14.0,11.0,14,SUP-038,ACTIVE,jbuyer,2018-11-17,2019-06-08
MEC-00114,Gearmotor 184T,EA,EA,,Mechanical,200.8,17.0,20.0,61,SUP-025,ACTIVE,kbuyer,2015-07-05,2020-04-21
HDW-00115,Nylock Nut 5/8,EA,EA,,Hardware,7.01,105.0,111.0,72,SUP-021,ACTIVE,jbuyer,2020-01-13,2022-03-27
HDW-00116,Hex Nut 1/2 SS,EA,EA,,MISC,2.16,35.0,46.0,64,SUP-021,ACTIVE,recvclerk,2016-10-27,2022-10-10
FAS-00117,3/16-20 x 1/2 BHCS SS,EA,BOX,,Fasteners,0.0026,512.0,242.0,69,SUP-003,ACTIVE,recvclerk,2020-03-28,2022-11-11
ELE-00118,Enclosure 10A,EA,EA,,Electrical,24.8,8.0,7.0,38,SUP-002,ACTIVE,pmgr,2015-12-06,2017-05-02
FAS-00119,5/16-11 x 3/8 HSHCS GR8,EA,EA,,Fasteners,1.05,237.0,119.0,64,SUP-021,ACTIVE,scoord,2015-02-10,2015-12-05
FAS-00120,1-16 x 5/8 HSHCS SS,EA,BOX,,Fasteners,0.0386,236.0,260.0,67,SUP-021,ACTIVE,kbuyer,2018-09-11,2020-06-09
FAS-00121-A,1-18 x 3/4 HSHCS ZP,EA,EA,,Fasteners,1.26,,2789.0,68,SUP-021,ACTIVE,jbuyer,2017-04-21,2020-06-07
FAS-00121-B,1-18x.75 HSHCS ZP,EA,EA,,Fasteners,,22370.0,2789.0,68,SUP-021,ACTIVE,scoord,2017-11-14,2022-08-29
FAS-00121-C,1-18x.75 HSHCS ZP,EA,EA,,Fasteners,1.26,,2789.0,68,SUP-021,ACTIVE,recvclerk,2017-06-06,2019-04-09
RM-00122,"304 Sheet Angle 3""",EA,EA,,Raw Material,28.02,25.0,23.0,17,SUP-036,ACTIVE,pmgr,2019-12-25,2020-09-04
FIT-00123,Flow Control -8 JIC,EA,EA,,Fittings,17.08,171.0,125.0,17,SUP-040,ACTIVE,recvclerk,2020-09-09,2021-09-16
RM-00124,"316 Sheet Angle 6""",EA,EA,,Raw Material,4.63,28.0,39.0,34,SUP-012,ACTIVE,recvclerk,2015-01-03,2019-08-09
ELE-00125,Wire 14AWG CE,EA,EA,,Electrical,57.59,131.0,75.0,41,SUP-008,ACTIVE,pmgr,2019-03-24,2021-04-26
MEC-00126,Sprocket 5HP,EA,EA,,Mechanical,31.88,9.0,14.0,73,SUP-019,ACTIVE,pmgr,2015-01-04,2021-02-23
MEC-00127,Sprocket 7.5HP TEFC,EA,EA,,Mechanical,3.86,9.0,5.0,28,SUP-019,ACTIVE,jbuyer,2017-03-13,2019-09-07
RM-00128,"A36 Angle Tube 1""",EA,EA,,MISC,1.86,29.0,32.0,64,SUP-043,ACTIVE,kbuyer,2018-11-07,2019-09-26
FAS-00129,3/8-11 x 5/16 BHCS GR8,EA,EA,,Fasteners,0.32,1219.0,497.0,68,SUP-027,ACTIVE,pmgr,2018-02-16,2019-04-26
MEC-00130,Gear Reducer 5HP,EA,EA,,Mechanical,69.85,9.0,10.0,73,SUP-001,ACTIVE,kbuyer,2019-10-29,2022-11-01
CON-00131,Shielding Gas EA,EA,EA,,Consumables,6.26,1055.0,439.0,20,SUP-034,ACTIVE,scoord,2017-10-16,2019-09-10
FAS-00132,5/8-13 x 1/2 HHCS ZP,EA,EA,,Fasteners,1.0,349.0,249.0,23,SUP-041,ACTIVE,jbuyer,2015-05-02,2017-06-10
FIT-00133,Tee -8 JIC,EA,EA,,Fittings,35.88,6.0,10.0,22,SUP-016,ACTIVE,recvclerk,2018-05-11,2022-09-22
FAS-00134-A,3/16-28 x 1 HHCS SS,EA,EA,,Fasteners,0.25,583.0,362.0,57,SUP-039,ACTIVE,scoord,2020-03-22,2022-12-06
FAS-00134-B,SS .1875-28x1 HHCS,EA,EA,,Fasteners,0.25,583.0,362.0,57,SUP-039,ACTIVE,pmgr,2022-11-07,2022-12-16
FAS-00134-C,.1875-28x1 HHCS SS,EA,EA,,Fasteners,0.25,583.0,362.0,57,SUP-039,ACTIVE,jbuyer,2020-11-26,2022-05-04
FAS-00134-4,SS .1875-28x1 HHCS,EA,EA,,Fasteners,0.25,583.0,362.0,57,SUP-039,ACTIVE,jbuyer,2021-04-16,2021-08-12
RM-00135,"A500 Tube Tube 2""",EA,EA,,Raw Material,13.7,28.0,28.0,54,SUP-024,ACTIVE,recvclerk,2018-11-09,2022-03-10
SVC-00136,Powder Coat Black,EA,EA,,Outside Service,15.02,79.0,37.0,35,SUP-011,ACTIVE,pmgr,2021-02-10,2022-11-17
ELE-00137,Contactor 14AWG,EA,EA,,MISC,13.97,48.0,34.0,13,SUP-014,ACTIVE,scoord,2018-09-06,2019-09-06
HDW-00138,Hex Nut 3/8,EA,BOX,,Hardware,0.0868,25.0,23.0,42,SUP-042,ACTIVE,pmgr,2019-08-16,2021-02-01
RM-00139,"A36 Plate Beam 1/4""",EA,EA,,Raw Material,3.07,53.0,35.0,57,SUP-030,ACTIVE,scoord,2017-04-24,2019-10-19
ELE-00140,Contactor 24VDC,EA,EA,,Electrical,107.31,2.0,3.0,39,SUP-008,ACTIVE,scoord,2016-05-23,2020-04-05
ELE-00141,Cable 16AWG,EA,EA,,Electrical,14.71,13.0,12.0,25,SUP-014,ACTIVE,jbuyer,2015-10-21,2017-07-11
CON-00142,Enamel Blue 5GAL,OZ,GAL,,Consumables,0.3026,485.0,292.0,47,SUP-004,ACTIVE,kbuyer,2020-02-06,2021-10-27
ELE-00143,Prox Sensor NEMA 12,EA,EA,,Electrical,27.26,100.0,50.0,52,SUP-032,ACTIVE,kbuyer,2019-07-13,2022-03-17
ELE-00144,Relay 24VDC UL,EA,EA,,Electrical,74.66,6.0,6.0,47,SUP-032,ACTIVE,kbuyer,2016-01-09,2016-12-01
MEC-00145,Sprocket 56C TEFC,EA,EA,,Mechanical,,21.0,19.0,67,SUP-007,ACTIVE,recvclerk,2018-01-16,2020-11-19
MEC-00146,V-Belt 7.5HP,EA,EA,,Mechanical,40.96,21.0,14.0,28,SUP-001,ACTIVE,jbuyer,2016-01-17,2019-07-13
ELE-00147,Contactor 12AWG CE,EA,EA,,Electrical,,208.0,178.0,49,SUP-020,ACTIVE,scoord,2017-12-13,2019-12-05
ELE-00148,Wire 12AWG CE,EA,EA,,MISC,31.48,79.0,72.0,65,SUP-002,ACTIVE,recvclerk,2018-07-23,2022-08-31
RM-00149,"5052 Sheet Angle 3/8""",EA,EA,,Raw Material,19.02,253.0,127.0,21,SUP-018,ACTIVE,recvclerk,2015-09-23,2018-05-22
HDW-00150,Lock Washer 3/8,EA,EA,,Hardware,1.0,520.0,291.0,26,SUP-021,ACTIVE,kbuyer,2020-12-10,2021-08-24
CON-00151,Powder Coat Black EA,EA,EA,,Consumables,4.99,97.0,46.0,10,SUP-010,ACTIVE,recvclerk,2015-06-28,2021-04-07
MEC-00152,V-Belt 7.5HP 56C,EA,EA,,Mechanical,23.62,1.0,1.0,32,SUP-001,ACTIVE,jbuyer,2020-11-30,2022-02-08
ELE-00153,Cable NEMA 12,EA,EA,,MISC,249.88,1.0,1.0,10,SUP-032,ACTIVE,kbuyer,2017-03-25,2018-08-06
RM-00154,"304 Tube Angle 1/2""",EA,EA,,Raw Material,12.91,570.0,277.0,58,SUP-043,ACTIVE,kbuyer,2015-05-26,2019-11-02
FAS-00155,1-24 x 1 SHCS ZP,EA,EA,,Fasteners,3.66,6.0,5.0,13,SUP-033,ACTIVE,recvclerk,2017-10-28,2022-05-21
