po_id,line,item_number,description_text,supplier_id,order_date,promised_date,received_date,qty_ordered,qty_received,unit_price,status,rush,freight
PO-000038,1,MEC-00701,,SUP-001,2023-05-16,2023-06-19,2023-06-03,59,41,12.24,OPEN,False,0.0
PO-000038,2,MEC-00067,,SUP-001,2023-05-18,2023-07-20,2023-06-05,15,15,18.72,CLOSED,False,0.0
PO-000038,3,MEC-01293,,SUP-001,2023-05-18,2023-07-08,2023-07-11,15,15,17.88,CLOSED,False,0.0
PO-000039,1,MEC-00050,,SUP-001,2023-05-23,2023-07-12,2023-07-10,95,95,13.75,CLOSED,False,0.0
PO-000039,2,MEC-00146,,SUP-001,2023-05-23,2023-06-20,2023-06-06,28,28,38.01,CLOSED,False,0.0
PO-000039,3,ELE-00569-A,,SUP-001,2023-05-23,2023-07-08,2023-06-05,92,92,38.83,CLOSED,False,0.0
PO-000040,1,ELE-00569-B,,SUP-001,2023-05-23,2023-07-08,2023-06-12,92,92,41.58,CLOSED,False,0.0
PO-000040,2,MEC-00266,,SUP-001,2023-05-24,2023-06-24,2023-07-01,14,14,73.65,CLOSED,False,0.0
PO-000041,1,ELE-00906,,SUP-001,2023-05-24,2023-08-04,2023-06-07,334,334,188.77,CLOSED,False,0.0
PO-000041,2,MEC-00896,,SUP-001,2023-05-25,2023-06-15,2023-06-16,27,27,73.09,CLOSED,False,0.0
PO-000041,3,MEC-01178,,SUP-001,2023-05-25,2023-06-01,2023-06-12,104,104,114.94,CLOSED,False,0.0
PO-000042,1,ELE-00140,,SUP-001,2023-06-02,2023-07-11,2023-06-19,17,17,58.35,CLOSED,False,0.0
PO-000042,2,MEC-00506,,SUP-001,2023-06-02,2023-07-15,2023-07-15,193,193,9.3,CLOSED,False,0.0
PO-000042,3,MEC-01195,,SUP-001,2023-06-02,2023-07-17,2023-07-21,44,44,47.35,CLOSED,False,0.0
PO-000043,1,MEC-01153,,SUP-001,2023-06-08,2023-08-02,2023-06-28,252,252,67.92,CLOSED,False,0.0
PO-000044,1,MEC-00189,,SUP-001,2023-06-09,2023-07-15,2023-07-22,60,39,25.22,OPEN,False,0.0
PO-000045,1,MEC-00945,,SUP-001,2023-06-09,2023-08-08,2023-06-26,79,79,13.31,CLOSED,False,0.0
PO-000046,1,MEC-00271,,SUP-001,2023-06-11,2023-07-11,2023-07-12,25,25,21.21,CLOSED,False,0.0
PO-000046,2,MEC-00529,,SUP-001,2023-06-12,2023-06-26,2023-06-28,63,63,4.33,CLOSED,False,0.0
PO-000047,1,MEC-01064,,SUP-001,2023-06-20,2023-08-15,2023-08-20,66,66,14.0,CLOSED,False,0.0
PO-000048,1,ELE-00140,,SUP-001,2023-06-26,2023-08-04,2023-07-17,17,17,64.27,CLOSED,False,0.0
PO-000049,1,MEC-00102,,SUP-001,2023-06-28,2023-09-05,2023-09-07,9,9,13.28,CLOSED,False,0.0
PO-000049,2,MEC-00283,,SUP-001,2023-07-03,2023-09-12,2023-07-16,19,14,17.35,OPEN,False,0.0
PO-000049,3,MEC-01172,,SUP-001,2023-07-03,2023-07-15,2023-07-19,109,109,23.85,CLOSED,False,0.0
PO-000050,1,MEC-01110,,SUP-001,2023-07-04,2023-07-25,2023-07-19,39,39,78.51,CLOSED,False,0.0
PO-000051,1,MEC-00102,,SUP-001,2023-07-07,2023-09-14,2023-09-18,9,9,13.68,CLOSED,False,0.0
PO-000051,2,MEC-00969,,SUP-001,2023-07-10,2023-08-28,2023-07-28,17,17,32.54,CLOSED,False,0.0
PO-000052,1,MEC-00951,,SUP-001,2023-07-11,2023-08-19,2023-08-22,62,62,46.06,CLOSED,False,0.0
PO-000052,2,MEC-00067,,SUP-001,2023-07-13,2023-09-14,2023-07-28,15,15,21.69,CLOSED,False,0.0
PO-000052,3,MEC-00073,,SUP-001,2023-07-13,2023-08-24,2023-07-31,148,148,57.14,CLOSED,False,0.0
PO-000053,1,MEC-00015,,SUP-001,2023-07-16,2023-08-22,2023-08-07,724,724,89.74,CLOSED,False,0.0
PO-000054,1,MEC-01153,,SUP-001,2023-07-20,2023-09-13,2023-08-02,252,252,69.92,CLOSED,False,0.0
PO-000054,2,MEC-01195,,SUP-001,2023-07-21,2023-09-04,2023-09-11,44,44,41.34,CLOSED,False,0.0
PO-000054,3,MEC-00015,,SUP-001,2023-07-23,2023-08-29,2023-08-04,724,724,72.62,CLOSED,False,0.0
PO-000055,1,MEC-00924,,SUP-001,2023-07-26,2023-09-02,2023-09-04,26,26,27.23,CLOSED,False,0.0
PO-000056,1,MEC-00869,,SUP-001,2023-08-04,2023-08-22,2023-08-27,629,629,16.69,CLOSED,False,0.0
PO-000056,2,MEC-01015-A,,SUP-001,2023-08-04,2023-09-06,2023-09-11,137,137,32.41,CLOSED,False,0.0
PO-000056,3,MEC-01015-B,,SUP-001,2023-08-04,2023-09-06,2023-09-11,137,137,31.66,CLOSED,False,0.0
PO-000057,1,MEC-01015-C,,SUP-001,2023-08-04,2023-09-06,2023-09-04,137,137,35.91,CLOSED,False,0.0
PO-000057,2,MEC-00770,,SUP-001,2023-08-05,2023-09-26,2023-10-02,92,92,25.09,CLOSED,False,0.0
PO-000058,1,ELE-00580,,SUP-001,2023-08-07,2023-09-24,2023-08-22,52,52,39.74,CLOSED,False,0.0
PO-000059,1,MEC-00506,,SUP-001,2023-08-11,2023-09-23,2023-09-21,193,193,8.11,CLOSED,False,0.0
PO-000060,1,MEC-00283,,SUP-001,2023-08-14,2023-10-24,2023-08-27,19,19,18.85,CLOSED,False,0.0
PO-000061,1,MEC-00750,,SUP-001,2023-08-14,2023-10-18,2023-10-19,31,31,50.46,CLOSED,False,0.0
PO-000062,1,MEC-00537,,SUP-001,2023-08-18,2023-10-03,2023-09-01,19,19,17.62,CLOSED,False,0.0
PO-000063,1,MEC-01092,,SUP-001,2023-08-18,2023-10-06,2023-09-04,60,60,37.15,CLOSED,False,0.0
PO-000063,2,MEC-00146,,SUP-001,2023-08-19,2023-09-16,2023-09-04,28,28,37.78,CLOSED,False,0.0
PO-000064,1,MEC-00896,,SUP-001,2023-08-19,2023-09-09,2023-09-12,27,27,71.24,CLOSED,False,0.0
PO-000065,1,MEC-01293,,SUP-001,2023-08-20,2023-10-10,2023-10-14,15,15,18.01,CLOSED,False,0.0
PO-000066,1,MEC-00854-A,,SUP-001,2023-08-22,2023-11-03,2023-11-07,104,104,19.04,CLOSED,False,0.0
PO-000066,2,MEC-00854-B,,SUP-001,2023-08-22,2023-11-03,2023-11-06,312,312,20.81,CLOSED,False,0.0
PO-000067,1,MEC-00266,,SUP-001,2023-08-28,2023-09-28,2023-09-27,14,14,70.13,CLOSED,False,0.0
PO-000067,2,MEC-00308,,SUP-001,2023-09-02,2023-09-16,2023-09-16,142,142,24.33,CLOSED,False,0.0
PO-000068,1,MEC-00924,,SUP-001,2023-09-02,2023-10-10,2023-10-11,26,26,26.03,CLOSED,False,0.0
PO-000068,2,MEC-00050,,SUP-001,2023-09-04,2023-10-24,2023-10-28,95,95,14.65,CLOSED,False,0.0
PO-000069,1,MEC-00102,,SUP-001,2023-09-04,2023-11-12,2023-11-18,9,9,14.27,CLOSED,False,0.0
PO-000070,1,MEC-00537,,SUP-001,2023-09-09,2023-10-25,2023-09-28,19,19,19.35,CLOSED,False,0.0
PO-000070,2,ELE-00140,,SUP-001,2023-09-11,2023-10-20,2023-09-25,17,17,64.93,CLOSED,False,0.0
PO-000070,3,MEC-00969,,SUP-001,2023-09-11,2023-10-30,2023-09-25,17,17,28.78,CLOSED,False,0.0
PO-000071,1,MEC-01064,,SUP-001,2023-09-21,2023-11-16,2023-11-27,66,66,14.57,CLOSED,False,0.0
PO-000071,2,MEC-00770,,SUP-001,2023-09-25,2023-11-16,2023-11-24,92,92,27.48,CLOSED,False,0.0
PO-000071,3,ELE-00106,,SUP-001,2023-09-26,2023-10-03,2023-10-15,8,8,60.31,CLOSED,False,0.0
PO-000072,1,MEC-00750,,SUP-001,2023-10-01,2023-12-05,2023-12-06,31,31,40.68,CLOSED,False,0.0
PO-000072,2,MEC-00951,,SUP-001,2023-10-02,2023-11-10,2023-11-18,62,62,51.31,CLOSED,False,0.0
PO-000072,3,MEC-00067,,SUP-001,2023-10-04,2023-12-06,2023-10-20,15,15,21.02,CLOSED,False,0.0
PO-000073,1,MEC-01178,,SUP-001,2023-10-06,2023-10-13,2023-10-23,104,104,88.52,CLOSED,False,0.0
PO-000073,2,MEC-00283,,SUP-001,2023-10-09,2023-12-19,2023-10-24,19,19,18.89,CLOSED,False,0.0
PO-000073,3,MEC-01293,,SUP-001,2023-10-09,2023-11-29,2023-11-29,15,12,20.15,OPEN,False,0.0
PO-000074,1,ELE-00569-B,,SUP-001,2023-10-13,2023-11-28,2023-10-30,92,92,40.58,CLOSED,False,0.0
PO-000074,2,MEC-00755,,SUP-001,2023-10-16,2023-12-05,2023-12-07,213,141,164.27,OPEN,False,0.0
PO-000074,3,MEC-01234,,SUP-001,2023-10-17,2023-12-08,2023-12-11,18,18,41.6,CLOSED,False,0.0
PO-000075,1,MEC-00537,,SUP-001,2023-10-19,2023-12-04,2023-11-03,19,19,15.09,CLOSED,False,0.0
PO-000075,2,MEC-00506,,SUP-001,2023-10-20,2023-12-02,2023-12-04,193,193,8.45,CLOSED,False,0.0
PO-000075,3,MEC-01172,,SUP-001,2023-10-23,2023-11-04,2023-11-14,109,109,22.95,CLOSED,False,0.0
PO-000076,1,MEC-00015,,SUP-001,2023-10-25,2023-12-01,2023-11-13,724,724,83.17,CLOSED,False,0.0
PO-000076,2,MEC-00951,,SUP-001,2023-10-27,2023-12-05,2023-12-18,62,62,45.38,CLOSED,False,0.0
PO-000076,3,MEC-01110,,SUP-001,2023-10-27,2023-11-17,2023-11-15,39,39,76.17,CLOSED,False,0.0
PO-000077,1,ELE-00906,,SUP-001,2023-11-06,2024-01-17,2023-11-20,334,334,206.86,CLOSED,False,0.0
PO-000078,1,MEC-00869,,SUP-001,2023-11-10,2023-11-28,2023-12-04,629,629,20.09,CLOSED,False,0.0
PO-000079,1,MEC-00271,,SUP-001,2023-11-12,2023-12-12,2023-12-13,25,25,21.77,CLOSED,False,0.0
PO-000079,2,MEC-00308,,SUP-001,2023-11-13,2023-11-27,2023-12-04,142,142,26.11,CLOSED,False,0.0
PO-000080,1,MEC-00468,,SUP-001,2023-11-13,2024-01-11,2024-01-22,134,134,25.85,CLOSED,False,0.0
PO-000080,2,ELE-00906,,SUP-001,2023-11-13,2024-01-24,2023-11-27,167,167,212.52,CLOSED,False,0.0
PO-000080,3,MEC-00750,,SUP-001,2023-11-14,2024-01-18,2024-01-20,31,26,47.56,OPEN,False,0.0
PO-000081,1,MEC-00924,,SUP-001,2023-11-14,2023-12-22,2023-12-25,26,26,28.8,CLOSED,False,0.0
PO-000082,1,MEC-01064,,SUP-001,2023-11-14,2024-01-09,2024-01-22,66,66,15.38,CLOSED,False,0.0
PO-000082,2,MEC-00529,,SUP-001,2023-11-17,2023-12-01,2023-12-01,63,63,5.15,CLOSED,False,0.0
PO-000083,1,MEC-00263,,SUP-001,2023-11-19,2023-12-23,2023-12-05,57,57,77.17,CLOSED,False,0.0
PO-000083,2,MEC-00067,,SUP-001,2023-11-21,2024-01-23,2023-12-04,15,11,23.93,OPEN,False,0.0
PO-000084,1,MEC-00468,,SUP-001,2023-11-26,2024-01-24,2024-02-05,67,67,24.1,CLOSED,False,0.0
PO-000084,2,MEC-00969,,SUP-001,2023-11-27,2024-01-15,2023-12-11,17,17,29.32,CLOSED,False,0.0
PO-000084,3,MEC-00050,,SUP-001,2023-11-28,2024-01-17,2024-01-17,95,95,12.59,CLOSED,False,0.0
PO-000085,1,MEC-01092,,SUP-001,2023-11-30,2024-01-18,2023-12-15,60,60,46.79,CLOSED,False,0.0
PO-000085,2,MEC-01178,,SUP-001,2023-12-02,2023-12-09,2023-12-18,104,81,107.61,OPEN,False,0.0
PO-000085,3,MEC-01153,,SUP-001,2023-12-04,2024-01-28,2023-12-17,1008,1008,59.35,CLOSED,False,0.0
PO-000086,1,ELE-00140,,SUP-001,2023-12-11,2024-01-19,2023-12-25,17,17,64.83,CLOSED,False,0.0
PO-000087,1,MEC-00537,,SUP-001,2023-12-11,2024-01-26,2024-01-01,19,19,16.89,CLOSED,False,0.0
PO-000087,2,MEC-00266,,SUP-001,2023-12-16,2024-01-16,2024-01-22,14,14,70.25,CLOSED,False,0.0
PO-000088,1,MEC-01234,,SUP-001,2023-12-19,2024-02-09,2024-02-12,18,18,45.57,CLOSED,False,0.0
PO-000088,2,ELE-00580,,SUP-001,2023-12-20,2024-02-06,2024-01-03,52,52,37.18,CLOSED,False,0.0
PO-000088,3,MEC-01195,,SUP-001,2023-12-20,2024-02-03,2024-02-12,44,44,43.56,CLOSED,False,0.0
PO-000089,1,MEC-00896,,SUP-001,2023-12-22,2024-01-12,2024-01-15,27,18,75.69,OPEN,False,0.0
PO-000089,2,MEC-00770,,SUP-001,2023-12-25,2024-02-15,2024-02-26,92,92,25.27,CLOSED,False,0.0
PO-000090,1,MEC-01092,,SUP-001,2023-12-25,2024-02-12,2024-01-15,60,60,38.27,CLOSED,False,0.0
PO-000090,2,ELE-00569-B,,SUP-001,2023-12-26,2024-02-10,2024-01-09,92,92,40.32,CLOSED,False,0.0
PO-000091,1,MEC-00073,,SUP-001,2023-12-29,2024-02-09,2024-01-15,74,74,68.43,CLOSED,False,0.0
PO-000092,1,MEC-00750,,SUP-001,2024-01-01,2024-03-06,2024-03-06,31,20,46.17,OPEN,False,0.0
PO-000093,1,MEC-01092,,SUP-001,2024-01-02,2024-02-20,2024-01-22,60,60,42.42,CLOSED,False,0.0
PO-000094,1,MEC-00271,,SUP-001,2024-01-03,2024-02-02,2024-02-05,25,25,21.42,CLOSED,False,0.0
PO-000094,2,MEC-00189,,SUP-001,2024-01-04,2024-02-09,2024-02-21,60,60,20.78,CLOSED,False,0.0
PO-000095,1,MEC-01110,,SUP-001,2024-01-05,2024-01-26,2024-01-17,39,39,78.97,CLOSED,False,0.0
PO-000096,1,MEC-00951,,SUP-001,2024-01-09,2024-02-17,2024-02-28,62,62,52.18,CLOSED,False,0.0
PO-000097,1,MEC-00263,,SUP-001,2024-01-13,2024-02-16,2024-01-29,57,57,74.43,CLOSED,False,0.0
PO-000097,2,MEC-00015,,SUP-001,2024-01-14,2024-02-20,2024-02-03,724,724,81.81,CLOSED,False,0.0
PO-000097,3,MEC-01172,,SUP-001,2024-01-15,2024-01-27,2024-02-12,109,109,23.04,CLOSED,False,0.0
PO-000098,1,MEC-00146,,SUP-001,2024-01-18,2024-02-15,2024-01-31,28,28,39.07,CLOSED,False,0.0
PO-000098,2,MEC-00506,,SUP-001,2024-01-19,2024-03-02,2024-03-02,193,193,9.09,CLOSED,False,0.0
PO-000099,1,MEC-00130,,SUP-001,2024-01-25,2024-04-07,2024-04-11,18,18,57.41,CLOSED,False,0.0
PO-000099,2,MEC-00869,,SUP-001,2024-01-26,2024-02-13,2024-02-14,629,629,16.7,CLOSED,False,0.0
PO-000100,1,MEC-00924,,SUP-001,2024-01-30,2024-03-08,2024-03-11,26,26,27.36,CLOSED,False,0.0
PO-000101,1,MEC-01179,,SUP-001,2024-02-01,2024-03-20,2024-02-16,76,76,24.38,CLOSED,False,0.0
PO-000101,2,MEC-01015-A,,SUP-001,2024-02-02,2024-03-06,2024-03-09,137,137,29.45,CLOSED,False,0.0
PO-000101,3,MEC-01015-B,,SUP-001,2024-02-02,2024-03-06,2024-03-11,137,137,32.07,CLOSED,False,0.0
PO-000102,1,MEC-00770,,SUP-001,2024-02-03,2024-03-26,2024-04-06,92,92,28.51,CLOSED,False,0.0
PO-000102,2,MEC-00067,,SUP-001,2024-02-08,2024-04-11,2024-02-26,15,15,24.05,CLOSED,False,0.0
PO-000103,1,MEC-00308,,SUP-001,2024-02-08,2024-02-22,2024-02-21,142,142,24.78,CLOSED,False,0.0
PO-000104,1,ELE-00106,,SUP-001,2024-02-09,2024-02-16,2024-02-25,8,8,53.81,CLOSED,False,0.0
PO-000105,1,MEC-01015-C,,SUP-001,2024-02-09,2024-03-13,2024-03-18,137,137,31.62,CLOSED,False,0.0
PO-000105,2,MEC-01195,,SUP-001,2024-02-09,2024-03-25,2024-04-08,44,44,40.91,CLOSED,False,0.0
PO-000106,1,MEC-00266,,SUP-001,2024-02-11,2024-03-13,2024-03-18,14,14,63.53,CLOSED,False,0.0
PO-000106,2,MEC-01178,,SUP-001,2024-02-11,2024-02-18,2024-02-22,104,104,103.74,CLOSED,False,0.0
PO-000106,3,ELE-00580,,SUP-001,2024-02-12,2024-03-31,2024-02-29,52,52,36.4,CLOSED,False,0.0
PO-000107,1,MEC-01092,,SUP-001,2024-02-12,2024-04-01,2024-02-27,120,120,40.07,CLOSED,False,0.0
PO-000108,1,ELE-00140,,SUP-001,2024-02-18,2024-03-28,2024-03-01,17,17,65.59,CLOSED,False,0.0
PO-000108,2,MEC-01293,,SUP-001,2024-02-19,2024-04-10,2024-04-15,15,15,18.25,CLOSED,False,0.0
