order_id,product_number,configuration_code,qty_ordered,qty_completed,customer_id,release_date,due_date,completed_date,status,hold_reason,delay_days
JOB-000039,PRD-CO-000,CFG-C,3,3,CUST-014,2024-01-14,2024-02-23,2024-02-23,OPEN,,0
JOB-000040,PRD-CO-000,CFG-A,3,3,CUST-136,2024-01-11,2024-02-02,2024-02-09,COMPLETED,,0
JOB-000041,PRD-CO-000,STD,2,2,CUST-101,2024-01-16,2024-02-02,2024-02-02,COMPLETED,,0
JOB-000042,PRD-CO-000,CFG-C,2,2,CUST-009,2024-01-16,2024-02-09,2024-02-09,COMPLETED,,0
JOB-000043,PRD-CO-000,STD,2,2,CUST-098,2024-01-07,2024-02-09,2024-02-18,COMPLETED,MATERIAL SHORTAGE,2
JOB-000044,PRD-CO-000,CFG-A,2,2,CUST-109,2024-01-01,2024-01-19,2024-01-26,COMPLETED,,0
JOB-000045,PRD-CO-000,STD,1,1,CUST-108,2024-04-15,2024-05-03,2024-05-03,COMPLETED,,0
JOB-000046,PRD-CO-000,STD,3,3,CUST-018,2024-04-08,2024-05-24,2024-05-31,COMPLETED,,0
JOB-000047,PRD-CO-000,CFG-A,1,1,CUST-105,2024-04-07,2024-04-26,2024-05-03,COMPLETED,,0
JOB-000048,PRD-CO-000,CFG-A,2,2,CUST-042,2024-04-11,2024-05-17,2024-05-17,COMPLETED,,0
JOB-000049,PRD-CO-000,CFG-A,2,2,CUST-068,2024-04-11,2024-05-03,2024-05-03,OPEN,,0
JOB-000050,PRD-CO-000,STD,3,3,CUST-031,2024-04-08,2024-05-03,2024-05-03,COMPLETED,,0
JOB-000051,PRD-CO-000,STD,2,2,CUST-048,2024-04-19,2024-05-17,2024-05-17,COMPLETED,,0
JOB-000052,PRD-CO-000,STD,2,2,CUST-039,2024-04-01,2024-05-03,2024-05-03,COMPLETED,,0
JOB-000053,PRD-CO-000,STD,3,3,CUST-081,2024-04-20,2024-05-10,2024-05-10,COMPLETED,,0
JOB-000054,PRD-CO-000,STD,1,1,CUST-097,2024-04-15,2024-05-10,2024-05-10,COMPLETED,,0
JOB-000055,PRD-CO-000,CFG-B,1,1,CUST-108,2024-04-10,2024-04-26,2024-04-26,COMPLETED,,0
JOB-000056,PRD-CO-000,CFG-B,1,1,CUST-131,2024-04-15,2024-05-03,2024-05-03,COMPLETED,,0
JOB-000057,PRD-CO-000,STD,2,2,CUST-026,2024-04-06,2024-04-26,2024-04-26,COMPLETED,,0
JOB-000058,PRD-CO-000,STD,1,1,CUST-079,2024-04-02,2024-04-26,2024-04-26,OPEN,,0
JOB-000059,PRD-CO-000,ETO,2,2,CUST-073,2024-04-11,2024-05-24,2024-05-31,COMPLETED,,0
JOB-000060,PRD-CO-000,CFG-A,1,1,CUST-014,2024-07-14,2024-08-16,2024-08-16,COMPLETED,,0
JOB-000061,PRD-CO-000,ETO,1,1,CUST-092,2024-07-01,2024-08-16,2024-08-16,COMPLETED,,0
JOB-000062,PRD-CO-000,STD,2,2,CUST-016,2024-07-20,2024-09-06,2024-09-06,COMPLETED,,0
JOB-000063,PRD-CO-000,CFG-B,1,1,CUST-112,2024-07-15,2024-08-23,2024-08-23,COMPLETED,,0
JOB-000064,PRD-CO-000,STD,3,3,CUST-068,2024-07-12,2024-08-02,2024-08-09,COMPLETED,,0
JOB-000065,PRD-CO-000,CFG-B,3,3,CUST-043,2024-07-12,2024-08-16,2024-08-16,COMPLETED,,0
JOB-000066,PRD-CO-000,STD,1,1,CUST-085,2024-07-09,2024-07-26,2024-08-02,COMPLETED,,0
JOB-000067,PRD-CO-000,CFG-C,2,2,CUST-082,2024-07-17,2024-08-16,2024-08-16,COMPLETED,,0
JOB-000068,PRD-CO-000,STD,1,1,CUST-039,2024-07-18,2024-08-02,2024-08-02,COMPLETED,,0
JOB-000069,PRD-CO-000,STD,1,1,CUST-011,2024-10-14,2024-11-22,2024-11-29,COMPLETED,,0
JOB-000070,PRD-CO-000,STD,1,1,CUST-059,2024-10-03,2024-10-18,2024-10-25,COMPLETED,,0
JOB-000071,PRD-CO-000,CFG-B,1,1,CUST-122,2024-10-13,2024-11-15,2024-11-22,COMPLETED,,0
JOB-000072,PRD-CO-000,STD,2,2,CUST-087,2024-10-13,2024-11-08,2024-11-15,COMPLETED,,0
JOB-000073,PRD-CO-000,CFG-A,2,2,CUST-122,2024-10-15,2024-11-29,2024-11-29,COMPLETED,,0
JOB-000074,PRD-CO-000,STD,3,3,CUST-009,2024-10-01,2024-11-08,2024-11-15,COMPLETED,,0
JOB-000075,PRD-CO-000,STD,2,2,CUST-005,2024-10-08,2024-11-01,2024-11-01,COMPLETED,,0
JOB-000076,PRD-CO-000,ETO,1,1,CUST-064,2024-10-13,2024-11-29,2024-11-29,COMPLETED,,0
JOB-000077,PRD-CO-000,STD,2,2,CUST-062,2024-10-07,2024-11-08,2024-11-08,COMPLETED,,0
JOB-000078,PRD-CO-000,CFG-C,2,2,CUST-130,2024-10-05,2024-11-08,2024-11-15,COMPLETED,,0
JOB-000079,PRD-CO-000,ETO,3,3,CUST-128,2024-10-02,2024-11-08,2024-11-08,COMPLETED,,0
JOB-000080,PRD-CO-000,CFG-C,3,3,CUST-116,2024-10-18,2024-11-22,2024-11-22,COMPLETED,,0
JOB-000081,PRD-CO-000,ETO,2,2,CUST-030,2024-10-07,2024-11-22,2024-11-29,COMPLETED,,0
JOB-000082,PRD-CO-000,CFG-A,1,1,CUST-043,2024-10-15,2024-11-08,2024-11-08,COMPLETED,,0
JOB-000083,PRD-CO-000,CFG-C,2,2,CUST-123,2024-10-11,2024-11-22,2024-11-29,COMPLETED,,0
JOB-000084,PRD-CO-000,STD,2,2,CUST-102,2025-01-09,2025-02-07,2025-02-07,COMPLETED,,0
JOB-000085,PRD-CO-000,STD,1,1,CUST-037,2025-01-07,2025-01-31,2025-01-31,COMPLETED,,0
JOB-000086,PRD-CO-000,CFG-B,3,3,CUST-128,2025-01-12,2025-01-31,2025-01-31,COMPLETED,,0
JOB-000087,PRD-CO-000,STD,3,3,CUST-091,2025-01-01,2025-02-07,2025-02-07,COMPLETED,,0
JOB-000088,PRD-CO-000,ETO,3,3,CUST-016,2025-01-02,2025-02-07,2025-02-07,COMPLETED,,0
JOB-000089,PRD-CO-000,CFG-C,2,2,CUST-122,2025-01-10,2025-02-21,2025-02-21,OPEN,,0
JOB-000090,PRD-CO-000,ETO,3,3,CUST-072,2025-01-11,2025-01-31,2025-02-07,COMPLETED,,0
JOB-000091,PRD-CO-000,STD,1,1,CUST-113,2025-01-19,2025-02-28,2025-02-28,COMPLETED,,0
JOB-000092,PRD-CO-000,STD,1,1,CUST-052,2025-01-15,2025-02-28,2025-03-07,OPEN,,0
JOB-000093,PRD-CO-000,STD,2,2,CUST-131,2025-04-18,2025-05-23,2025-05-23,COMPLETED,,0
JOB-000094,PRD-CO-000,STD,2,2,CUST-078,2025-04-14,2025-05-23,2025-05-23,COMPLETED,,0
JOB-000095,PRD-CO-000,STD,2,2,CUST-033,2025-04-13,2025-05-09,2025-05-09,COMPLETED,,0
JOB-000096,PRD-CO-000,STD,2,2,CUST-099,2025-04-02,2025-04-25,2025-05-02,COMPLETED,,0
JOB-000097,PRD-CO-000,STD,3,3,CUST-111,2025-04-12,2025-05-30,2025-05-30,COMPLETED,,0
JOB-000098,PRD-CO-000,STD,1,1,CUST-037,2025-04-08,2025-05-23,2025-05-30,COMPLETED,,0
JOB-000099,PRD-CO-000,STD,2,2,CUST-092,2025-04-05,2025-05-02,2025-05-02,COMPLETED,,0
JOB-000100,PRD-CO-000,ETO,1,1,CUST-037,2025-04-01,2025-05-09,2025-05-16,COMPLETED,,0
JOB-000101,PRD-CO-000,STD,3,3,CUST-081,2025-04-12,2025-05-09,2025-05-16,COMPLETED,,0
JOB-000102,PRD-CO-000,STD,1,1,CUST-073,2025-04-09,2025-05-23,2025-05-30,OPEN,,0
JOB-000103,PRD-CO-000,STD,1,1,CUST-122,2025-04-13,2025-05-09,2025-05-09,COMPLETED,,0
JOB-000104,PRD-CO-000,CFG-C,1,1,CUST-082,2025-05-11,2025-06-13,2025-06-20,COMPLETED,,0
JOB-000105,PRD-CO-000,STD,1,1,CUST-004,2025-07-19,2025-08-29,2025-09-05,COMPLETED,,0
JOB-000106,PRD-CO-000,STD,3,3,CUST-036,2025-07-02,2025-07-25,2025-07-25,OPEN,,0
JOB-000107,PRD-CO-000,STD,1,1,CUST-127,2025-07-01,2025-08-08,2025-08-08,COMPLETED,,0
JOB-000108,PRD-CO-000,STD,1,1,CUST-023,2025-07-12,2025-08-22,2025-08-29,COMPLETED,,0
JOB-000109,PRD-CO-000,CFG-A,2,2,CUST-031,2025-07-06,2025-08-22,2025-08-22,COMPLETED,,0
JOB-000110,PRD-CO-000,STD,3,3,CUST-007,2025-07-16,2025-08-29,2025-09-05,COMPLETED,,0
JOB-000111,PRD-CO-000,STD,1,1,CUST-002,2025-07-01,2025-08-08,2025-08-08,COMPLETED,,0
JOB-000112,PRD-CO-000,CFG-B,1,1,CUST-014,2025-07-17,2025-08-15,2025-08-15,COMPLETED,,0
JOB-000113,PRD-CO-000,STD,1,1,CUST-129,2025-07-07,2025-08-01,2025-08-08,COMPLETED,,0
JOB-000114,PRD-CO-000,CFG-B,1,1,CUST-076,2025-07-11,2025-08-08,2025-08-15,COMPLETED,,0
JOB-000115,PRD-CO-000,STD,2,2,CUST-016,2025-07-13,2025-08-08,2025-08-08,COMPLETED,,0
JOB-000116,PRD-CO-000,CFG-C,1,1,CUST-077,2025-10-11,2025-11-07,2025-11-14,COMPLETED,,0
JOB-000117,PRD-CO-000,CFG-A,1,1,CUST-056,2025-10-16,2025-11-14,2025-11-14,COMPLETED,,0
JOB-000118,PRD-CO-000,STD,2,2,CUST-139,2025-10-06,2025-11-14,2025-11-21,COMPLETED,,0
JOB-000119,PRD-CO-000,ETO,1,1,CUST-118,2025-10-13,2025-11-14,2025-11-14,COMPLETED,,0
JOB-000120,PRD-CO-000,CFG-C,3,3,CUST-102,2025-10-07,2025-10-31,2025-10-31,COMPLETED,,0
JOB-000121,PRD-CO-000,CFG-A,1,1,CUST-005,2025-10-17,2025-11-28,2025-11-28,COMPLETED,,0
JOB-000122,PRD-CO-000,STD,1,1,CUST-002,2025-10-15,2025-11-21,2025-11-21,COMPLETED,,0
JOB-000123,PRD-CO-000,STD,2,2,CUST-013,2025-10-18,2025-11-14,2025-11-14,COMPLETED,,0
JOB-000124,PRD-CO-000,STD,1,1,CUST-013,2026-01-16,2026-02-13,2026-02-16,COMPLETED,MATERIAL SHORTAGE,8
JOB-000125,PRD-CO-000,ETO,3,3,CUST-038,2026-01-15,2026-02-06,2026-02-07,COMPLETED,,0
JOB-000126,PRD-CO-000,CFG-A,3,3,CUST-112,2026-01-10,2026-02-20,2026-02-16,COMPLETED,MATERIAL SHORTAGE,1
JOB-000127,PRD-CO-000,STD,1,1,CUST-044,2026-01-19,2026-02-27,2026-03-01,COMPLETED,,0
JOB-000128,PRD-CO-000,STD,1,1,CUST-138,2026-01-13,2026-02-13,2026-02-16,COMPLETED,MATERIAL SHORTAGE,6
JOB-000129,PRD-CO-000,CFG-A,3,3,CUST-090,2026-01-19,2026-02-13,2026-02-16,COMPLETED,MATERIAL SHORTAGE,5
JOB-000130,PRD-CO-000,CFG-B,1,1,CUST-017,2026-01-09,2026-01-23,2026-01-17,COMPLETED,,0
JOB-000131,PRD-CO-000,CFG-A,2,2,CUST-027,2026-01-04,2026-01-30,2026-02-02,COMPLETED,,0
JOB-000132,PRD-CO-000,STD,2,2,CUST-083,2026-01-15,2026-02-06,2026-02-06,OPEN,,0
JOB-000133,PRD-CO-000,ETO,2,2,CUST-112,2026-01-11,2026-02-20,2026-02-20,COMPLETED,,0
JOB-000134,PRD-CO-000,CFG-A,2,2,CUST-040,2026-01-02,2026-02-13,2026-02-16,COMPLETED,MATERIAL SHORTAGE,5
JOB-000135,PRD-CO-000,STD,3,3,CUST-032,2026-01-06,2026-02-20,2026-02-16,COMPLETED,MATERIAL SHORTAGE,1
JOB-000136,PRD-CO-000,STD,3,3,CUST-113,2026-01-08,2026-02-06,2026-02-04,COMPLETED,,0
JOB-000137,PRD-CO-000,CFG-C,1,1,CUST-109,2026-02-17,2026-03-27,2026-03-29,COMPLETED,,0
JOB-000138,PRD-CO-000,STD,1,1,CUST-124,2026-04-02,2026-05-01,2026-04-28,COMPLETED,,0
JOB-000139,PRD-CO-000,STD,2,2,CUST-074,2026-04-05,2026-05-08,2026-05-06,COMPLETED,,0
JOB-000140,PRD-CO-000,STD,3,3,CUST-123,2026-04-11,2026-05-15,2026-05-11,COMPLETED,,0
JOB-000141,PRD-CO-000,CFG-A,1,1,CUST-124,2026-04-16,2026-05-15,2026-05-25,COMPLETED,MATERIAL SHORTAGE,8
JOB-000142,PRD-CO-000,STD,1,1,CUST-110,2026-04-03,2026-05-15,2026-05-25,COMPLETED,MATERIAL SHORTAGE,7
JOB-000143,PRD-CO-000,CFG-A,1,1,CUST-048,2026-04-16,2026-05-29,2026-05-29,COMPLETED,,0
JOB-000144,PRD-CO-000,STD,2,2,CUST-083,2026-04-01,2026-05-08,2026-05-04,COMPLETED,,0
JOB-000145,PRD-CO-000,STD,2,2,CUST-092,2026-04-06,2026-05-15,2026-05-09,OPEN,,0
JOB-000146,PRD-CO-000,STD,1,1,CUST-131,2026-04-09,2026-04-24,2026-04-24,COMPLETED,,0
JOB-000147,PRD-CO-000,CFG-A,3,3,CUST-028,2026-04-01,2026-05-15,2026-05-14,COMPLETED,,0
JOB-000148,PRD-CO-000,CFG-C,3,3,CUST-019,2026-04-13,2026-05-08,2026-05-03,OPEN,,0
JOB-000149,PRD-CO-000,STD,3,3,CUST-120,2026-04-09,2026-05-22,2026-05-25,COMPLETED,MATERIAL SHORTAGE,9
JOB-000150,PRD-CO-000,STD,3,3,CUST-002,2026-04-10,2026-05-15,2026-05-09,COMPLETED,,0
JOB-000151,PRD-CO-000,STD,2,2,CUST-049,2026-04-13,2026-05-22,2026-05-25,COMPLETED,MATERIAL SHORTAGE,1
JOB-000152,PRD-MI-001,STD,2,2,CUST-032,2023-01-07,2023-01-27,2023-01-27,COMPLETED,,0
JOB-000153,PRD-MI-001,CFG-B,2,2,CUST-123,2023-01-01,2023-02-17,2023-02-17,COMPLETED,,0
JOB-000154,PRD-MI-001,CFG-A,1,1,CUST-049,2023-01-16,2023-02-24,2023-02-24,COMPLETED,,0
JOB-000155,PRD-MI-001,STD,3,3,CUST-139,2023-01-04,2023-02-10,2023-02-10,COMPLETED,,0
JOB-000156,PRD-MI-001,STD,1,1,CUST-102,2023-04-07,2023-05-12,2023-05-12,COMPLETED,,0
JOB-000157,PRD-MI-001,CFG-A,1,1,CUST-104,2023-04-09,2023-05-19,2023-05-24,COMPLETED,MATERIAL SHORTAGE,5
JOB-000158,PRD-MI-001,STD,3,3,CUST-073,2023-04-15,2023-05-12,2023-05-12,COMPLETED,,0
JOB-000159,PRD-MI-001,STD,1,1,CUST-078,2023-04-05,2023-05-05,2023-05-12,COMPLETED,,0
JOB-000160,PRD-MI-001,CFG-B,3,3,CUST-075,2023-04-15,2023-05-26,2023-06-02,COMPLETED,,0
JOB-000161,PRD-MI-001,CFG-C,1,1,CUST-050,2023-07-06,2023-08-04,2023-08-04,COMPLETED,,0
JOB-000162,PRD-MI-001,CFG-B,2,2,CUST-053,2023-07-14,2023-08-25,2023-08-25,COMPLETED,,0
JOB-000163,PRD-MI-001,STD,1,1,CUST-094,2023-07-17,2023-08-25,2023-08-25,COMPLETED,,0
JOB-000164,PRD-MI-001,CFG-B,2,2,CUST-091,2023-07-03,2023-08-11,2023-08-11,COMPLETED,,0
JOB-000165,PRD-MI-001,CFG-C,3,3,CUST-046,2023-07-13,2023-08-04,2023-08-04,COMPLETED,,0
JOB-000166,PRD-MI-001,CFG-B,3,3,CUST-111,2023-07-10,2023-07-28,2023-07-28,COMPLETED,,0
JOB-000167,PRD-MI-001,STD,2,2,CUST-086,2023-07-16,2023-08-04,2023-08-11,COMPLETED,,0
JOB-000168,PRD-MI-001,CFG-C,2,2,CUST-089,2023-07-15,2023-08-11,2023-08-18,OPEN,,0
JOB-000169,PRD-MI-001,ETO,3,3,CUST-017,2023-10-20,2023-11-10,2023-11-16,COMPLETED,MATERIAL SHORTAGE,6
JOB-000170,PRD-MI-001,STD,1,1,CUST-059,2023-10-17,2023-11-10,2023-11-17,COMPLETED,,0
JOB-000171,PRD-MI-001,STD,3,3,CUST-085,2023-10-10,2023-10-27,2023-11-03,COMPLETED,,0
JOB-000172,PRD-MI-001,ETO,1,1,CUST-075,2023-10-08,2023-10-27,2023-10-27,COMPLETED,,0
JOB-000173,PRD-MI-001,STD,2,2,CUST-016,2023-10-08,2023-11-03,2023-11-03,COMPLETED,,0
JOB-000174,PRD-MI-001,STD,1,1,CUST-116,2023-10-15,2023-11-03,2023-11-16,COMPLETED,MATERIAL SHORTAGE,6
JOB-000175,PRD-MI-001,CFG-B,2,2,CUST-082,2023-10-18,2023-11-10,2023-11-16,COMPLETED,MATERIAL SHORTAGE,6
JOB-000176,PRD-MI-001,STD,2,2,CUST-050,2023-10-14,2023-11-10,2023-11-16,COMPLETED,MATERIAL SHORTAGE,6
JOB-000177,PRD-MI-001,CFG-A,1,1,CUST-115,2023-10-05,2023-11-10,2023-11-16,COMPLETED,MATERIAL SHORTAGE,6
JOB-000178,PRD-MI-001,CFG-C,1,1,CUST-049,2023-10-20,2023-12-01,2023-12-03,COMPLETED,MATERIAL SHORTAGE,2
JOB-000179,PRD-MI-001,CFG-B,1,1,CUST-059,2023-10-11,2023-11-03,2023-11-16,COMPLETED,MATERIAL SHORTAGE,6
JOB-000180,PRD-MI-001,STD,1,1,CUST-090,2023-10-05,2023-10-27,2023-11-03,COMPLETED,,0
JOB-000181,PRD-MI-001,STD,1,1,CUST-005,2023-10-11,2023-11-10,2023-11-17,COMPLETED,,0
JOB-000182,PRD-MI-001,ETO,2,2,CUST-124,2023-10-16,2023-12-01,2023-12-03,COMPLETED,MATERIAL SHORTAGE,2
JOB-000183,PRD-MI-001,CFG-C,1,1,CUST-032,2023-10-02,2023-11-10,2023-11-17,COMPLETED,,0
JOB-000184,PRD-MI-001,STD,3,3,CUST-041,2024-01-11,2024-02-16,2024-02-16,COMPLETED,,0
JOB-000185,PRD-MI-001,STD,1,1,CUST-102,2024-01-01,2024-01-19,2024-01-19,COMPLETED,,0
JOB-000186,PRD-MI-001,CFG-B,2,2,CUST-058,2024-01-14,2024-02-16,2024-02-23,COMPLETED,,0
JOB-000187,PRD-MI-001,STD,3,3,CUST-096,2024-01-14,2024-03-01,2024-03-01,COMPLETED,,0
JOB-000188,PRD-MI-001,STD,3,3,CUST-114,2024-01-18,2024-02-23,2024-03-01,COMPLETED,,0
JOB-000189,PRD-MI-001,CFG-B,1,1,CUST-058,2024-01-01,2024-01-26,2024-01-26,COMPLETED,,0
JOB-000190,PRD-MI-001,STD,3,3,CUST-037,2024-04-02,2024-05-10,2024-05-17,COMPLETED,,0
JOB-000191,PRD-MI-001,ETO,3,3,CUST-126,2024-04-08,2024-05-17,2024-05-17,COMPLETED,,0
JOB-000192,PRD-MI-001,STD,1,1,CUST-099,2024-04-17,2024-05-31,2024-05-31,COMPLETED,,0
JOB-000193,PRD-MI-001,STD,2,2,CUST-129,2024-04-12,2024-05-17,2024-05-17,COMPLETED,,0
JOB-000194,PRD-MI-001,STD,2,2,CUST-041,2024-04-18,2024-05-17,2024-05-24,COMPLETED,,0
JOB-000195,PRD-MI-001,CFG-A,2,2,CUST-063,2024-07-20,2024-08-09,2024-08-09,COMPLETED,,0
JOB-000196,PRD-MI-001,ETO,1,1,CUST-029,2024-07-05,2024-08-16,2024-08-23,COMPLETED,,0
JOB-000197,PRD-MI-001,STD,3,3,CUST-082,2024-07-20,2024-08-09,2024-08-16,COMPLETED,,0
JOB-000198,PRD-MI-001,ETO,1,1,CUST-093,2024-07-18,2024-08-09,2024-08-09,COMPLETED,,0
JOB-000199,PRD-MI-001,STD,2,2,CUST-135,2024-07-09,2024-08-02,2024-08-02,OPEN,,0
JOB-000200,PRD-MI-001,STD,1,1,CUST-050,2024-07-07,2024-07-26,2024-07-26,COMPLETED,,0
