product_number,component_item,qty_per,uom,effective_date
SUB-0014,MEC-01052,7,EA,2023-01-01
SUB-0014,MEC-01096,1,EA,2023-01-01
SUB-0015,FAS-00155,6,EA,2023-01-01
SUB-0015,MEC-00254,1,EA,2023-01-01
SUB-0015,FAS-00053,5,EA,2023-01-01
SUB-0015,RM-00187,3,EA,2023-01-01
SUB-0016,SVC-00613,3,EA,2023-01-01
SUB-0016,FAS-00558,6,EA,2023-01-01
SUB-0017,MEC-00475,7,EA,2023-01-01
SUB-0017,MEC-01007,3,EA,2023-01-01
SUB-0018,HDW-00297-A,5,EA,2023-01-01
SUB-0018,RM-00269,4,EA,2023-01-01
SUB-0019,FAS-00477,4,EA,2023-01-01
SUB-0019,RM-00635,5,EA,2023-01-01
SUB-0020,MEC-00909,6,EA,2023-01-01
SUB-0020,ELE-01126,7,EA,2023-01-01
SUB-0021,MEC-00172,2,EA,2023-01-01
SUB-0021,MEC-00552-A,6,EA,2023-01-01
SUB-0022,RM-00124,7,EA,2023-01-01
SUB-0022,ELE-00716,4,EA,2023-01-01
SUB-0023,ELE-00628-A,5,EA,2023-01-01
SUB-0023,ELE-01288,2,EA,2023-01-01
SUB-0023,MEC-00715,2,EA,2023-01-01
SUB-0023,MEC-00801,3,EA,2023-01-01
SUB-0024,HDW-00179,6,EA,2023-01-01
SUB-0024,RM-00758,1,EA,2023-01-01
SUB-0024,CON-00757,3,EA,2023-01-01
SUB-0024,ELE-00903,1,EA,2023-01-01
SUB-0025,RM-00825,2,EA,2023-01-01
SUB-0025,FAS-00250,4,EA,2023-01-01
SUB-0025,MEC-00595-A,5,EA,2023-01-01
SUB-0026,CON-01113,6,EA,2023-01-01
SUB-0027,MEC-01247,3,EA,2023-01-01
SUB-0027,FAS-00640,1,EA,2023-01-01
SUB-0027,FAS-00250,2,EA,2023-01-01
SUB-0027,RM-00484,6,EA,2023-01-01
SUB-0028,HDW-01146,3,EA,2023-01-01
SUB-0028,MEC-00755,4,EA,2023-01-01
SUB-0029,RM-00049,5,EA,2023-01-01
SUB-0029,RM-00534,4,EA,2023-01-01
SUB-0029,CON-00676,1,EA,2023-01-01
SUB-0030,FIT-00316-A,4,EA,2023-01-01
SUB-0031,MEC-00595-A,5,EA,2023-01-01
SUB-0031,MEC-00220,1,EA,2023-01-01
SUB-0032,HDW-00167,6,EA,2023-01-01
SUB-0033,ELE-00683,3,EA,2023-01-01
SUB-0033,SVC-00964,3,EA,2023-01-01
SUB-0034,HDW-00712,4,EA,2023-01-01
SUB-0034,MEC-00587,4,EA,2023-01-01
SUB-0034,FAS-00350,7,EA,2023-01-01
SUB-0034,ELE-00323,2,EA,2023-01-01
SUB-0035,MEC-00692,1,EA,2023-01-01
SUB-0035,FAS-00379,1,EA,2023-01-01
SUB-0036,FAS-01041-A,2,EA,2023-01-01
SUB-0036,MEC-00869-A,1,EA,2023-01-01
SUB-0037,MEC-01007,4,EA,2023-01-01
SUB-0037,CON-01006,5,EA,2023-01-01
SUB-0038,HDW-00324,5,EA,2023-01-01
SUB-0038,FIT-01177,4,EA,2023-01-01
SUB-0039,HDW-00345,7,EA,2023-01-01
SUB-0039,CON-00576,4,EA,2023-01-01
SUB-0039,SVC-00723,6,EA,2023-01-01
SUB-0039,SVC-01022,7,EA,2023-01-01
SUB-0040,ELE-00508,5,EA,2023-01-01
SUB-0040,RM-00008,3,EA,2023-01-01
SUB-0040,ELE-00001-A,4,EA,2023-01-01
SUB-0040,RM-01039,5,EA,2023-01-01
SUB-0041,FAS-01024-A,7,EA,2023-01-01
SUB-0041,FAS-00392,1,EA,2023-01-01
SUB-0041,HDW-00166,4,EA,2023-01-01
SUB-0041,RM-00963,1,EA,2023-01-01
SUB-0042,SVC-00099,5,EA,2023-01-01
SUB-0043,ELE-00817,3,EA,2023-01-01
SUB-0043,RM-00635,5,EA,2023-01-01
SUB-0043,RM-01274,6,EA,2023-01-01
SUB-0044,ELE-00536,4,EA,2023-01-01
SUB-0044,SVC-00872,7,EA,2023-01-01
SUB-0044,MEC-01183,4,EA,2023-01-01
SUB-0045,MEC-00884-A,2,EA,2023-01-01
SUB-0045,CON-01278,2,EA,2023-01-01
SUB-0046,CON-00451,5,EA,2023-01-01
SUB-0046,ELE-00056,7,EA,2023-01-01
SUB-0046,MEC-00829-A,7,EA,2023-01-01
SUB-0046,HDW-00626,4,EA,2023-01-01
SUB-0047,FAS-01197,3,EA,2023-01-01
SUB-0047,FAS-00491,3,EA,2023-01-01
SUB-0047,RM-00820,5,EA,2023-01-01
SUB-0047,ELE-00808,4,EA,2023-01-01
SUB-0048,FIT-00133,2,EA,2023-01-01
SUB-0048,ELE-00026,7,EA,2023-01-01
SUB-0048,ELE-00137-A,3,EA,2023-01-01
SUB-0048,MEC-00506,7,EA,2023-01-01
SUB-0049,FAS-00597,7,EA,2023-01-01
SUB-0049,CON-00757,7,EA,2023-01-01
SUB-0049,MEC-01216,1,EA,2023-01-01
SUB-0050,RM-00291,1,EA,2023-01-01
SUB-0050,ELE-00508,3,EA,2023-01-01
SUB-0051,HDW-00707,2,EA,2023-01-01
SUB-0051,MEC-00657,3,EA,2023-01-01
SUB-0051,RM-01220,1,EA,2023-01-01
SUB-0052,MEC-00537,4,EA,2023-01-01
SUB-0052,MEC-01245-A,2,EA,2023-01-01
SUB-0052,MEC-00586,3,EA,2023-01-01
SUB-0053,HDW-00601,1,EA,2023-01-01
SUB-0053,RM-00811,1,EA,2023-01-01
SUB-0054,RM-00085,7,EA,2023-01-01
SUB-0054,MEC-00174,2,EA,2023-01-01
SUB-0054,HDW-00862,6,EA,2023-01-01
SUB-0055,RM-00763,2,EA,2023-01-01
SUB-0055,HDW-00941,3,EA,2023-01-01
SUB-0056,MEC-00693,5,EA,2023-01-01
SUB-0056,HDW-01146,4,EA,2023-01-01
SUB-0056,HDW-01142,5,EA,2023-01-01
SUB-0057,RM-01243,7,EA,2023-01-01
SUB-0057,HDW-00235,1,EA,2023-01-01
SUB-0057,ELE-00141,2,EA,2023-01-01
SUB-0057,ELE-00559,1,EA,2023-01-01
SUB-0058,MEC-01123,7,EA,2023-01-01
SUB-0058,FIT-00275,2,EA,2023-01-01
SUB-0058,FAS-00603,5,EA,2023-01-01
SUB-0058,SVC-01114,2,EA,2023-01-01
SUB-0059,RM-00208,6,EA,2023-01-01
SUB-0060,MEC-01096,6,EA,2023-01-01
SUB-0060,ELE-00089,2,EA,2023-01-01
SUB-0061,HDW-00000,7,EA,2023-01-01
SUB-0061,MEC-00715,7,EA,2023-01-01
SUB-0061,HDW-00696,7,EA,2023-01-01
SUB-0061,HDW-00063,5,EA,2023-01-01
SUB-0062,RM-00289,6,EA,2023-01-01
SUB-0062,RM-00793,4,EA,2023-01-01
SUB-0062,MEC-00942,6,EA,2023-01-01
SUB-0062,RM-00796,3,EA,2023-01-01
SUB-0063,MEC-00897,6,EA,2023-01-01
SUB-0063,MEC-00930,3,EA,2023-01-01
SUB-0063,FIT-01213,1,EA,2023-01-01
SUB-0063,FAS-00379,7,EA,2023-01-01
SUB-0064,FIT-00846-A,2,EA,2023-01-01
SUB-0064,HDW-00072,4,EA,2023-01-01
SUB-0065,RM-01219,1,EA,2023-01-01
SUB-0065,HDW-00082-A,1,EA,2023-01-01
SUB-0065,MEC-00897,7,EA,2023-01-01
SUB-0066,RM-00454,7,EA,2023-01-01
SUB-0066,MEC-01099,7,EA,2023-01-01
SUB-0066,RM-00594,4,EA,2023-01-01
SUB-0067,ELE-00001-A,2,EA,2023-01-01
SUB-0067,FAS-01041-A,7,EA,2023-01-01
SUB-0067,CON-00451,2,EA,2023-01-01
SUB-0068,MEC-00230,5,EA,2023-01-01
SUB-0068,MEC-01049,6,EA,2023-01-01
SUB-0068,MEC-00242,2,EA,2023-01-01
SUB-0069,ELE-00708,7,EA,2023-01-01
SUB-0069,FIT-00133,3,EA,2023-01-01
SUB-0069,SVC-00964,7,EA,2023-01-01
SUB-0070,RM-00484,3,EA,2023-01-01
SUB-0070,ELE-01282,5,EA,2023-01-01
SUB-0070,FAS-00640,7,EA,2023-01-01
SUB-0070,FIT-00480,7,EA,2023-01-01
