count_id,item_number,count_date,system_qty,counted_qty,counter_id,program
CC-000052,CON-00703,2023-01-17,0,31,pmgr,ANNUAL
CC-000053,CON-00713,2023-01-17,0,80,scoord,ANNUAL
CC-000054,CON-00742,2023-01-17,0,551,kbuyer,ANNUAL
CC-000055,CON-00757,2023-01-17,-11,115,recvclerk,ANNUAL
CC-000056,CON-00764,2023-01-17,-16,157,kbuyer,ANNUAL
CC-000057,CON-00781,2023-01-17,3,35,pmgr,ANNUAL
CC-000058,CON-00802,2023-01-17,-165,193,kbuyer,ANNUAL
CC-000059,CON-00815,2023-01-17,-6,17,kbuyer,ANNUAL
CC-000060,CON-00816,2023-01-17,-7,24,pmgr,ANNUAL
CC-000061,CON-00828,2023-01-17,-19,83,recvclerk,ANNUAL
CC-000062,CON-00845,2023-01-17,-5,5,recvclerk,ANNUAL
CC-000063,CON-00853,2023-01-17,-7,52,kbuyer,ANNUAL
CC-000064,CON-00857,2023-01-17,0,208,pmgr,ANNUAL
CC-000065,CON-00865,2023-01-17,-25,364,recvclerk,ANNUAL
CC-000066,CON-00866,2023-01-17,-14,15,pmgr,ANNUAL
CC-000067,CON-00875,2023-01-17,-3,47,scoord,ANNUAL
CC-000068,CON-00882,2023-01-17,-29,24,scoord,ANNUAL
CC-000069,CON-00895,2023-01-17,0,424,kbuyer,ANNUAL
CC-000070,CON-00911,2023-01-17,-9,21,pmgr,ANNUAL
CC-000071,CON-00912,2023-01-17,-4,6,jbuyer,ANNUAL
CC-000072,CON-00938,2023-01-17,0,40,kbuyer,ANNUAL
CC-000073,CON-00948,2023-01-17,-27,105,jbuyer,ANNUAL
CC-000074,CON-00955,2023-01-17,0,38,jbuyer,ANNUAL
CC-000075,CON-00973,2023-01-17,-22,96,recvclerk,ANNUAL
CC-000076,CON-00985,2023-01-17,0,51,recvclerk,ANNUAL
CC-000077,CON-00994,2023-01-17,-8,51,jbuyer,ANNUAL
CC-000078,CON-01006,2023-01-17,-4,340,scoord,ANNUAL
CC-000079,CON-01020,2023-01-17,-15,213,scoord,ANNUAL
CC-000080,CON-01033,2023-01-17,-9,21,scoord,ANNUAL
CC-000081,CON-01048,2023-01-17,-21,538,jbuyer,ANNUAL
CC-000082,CON-01056,2023-01-17,-14,47,jbuyer,ANNUAL
CC-000083,CON-01070,2023-01-17,-6,20,scoord,ANNUAL
CC-000084,CON-01073,2023-01-17,-32,70,jbuyer,ANNUAL
CC-000085,CON-01081,2023-01-17,-1,33,recvclerk,ANNUAL
CC-000086,CON-01082,2023-01-17,-6,28,jbuyer,ANNUAL
CC-000087,CON-01098,2023-01-17,-1288,137,scoord,ANNUAL
CC-000088,CON-01113,2023-01-17,0,554,recvclerk,ANNUAL
CC-000089,CON-01119,2023-01-17,-15,15,jbuyer,ANNUAL
CC-000090,CON-01149,2023-01-17,-1,25,recvclerk,ANNUAL
CC-000091,CON-01151,2023-01-17,-49,47,recvclerk,ANNUAL
CC-000092,CON-01165,2023-01-17,-45,62,pmgr,ANNUAL
CC-000093,CON-01192,2023-01-17,-6,12,jbuyer,ANNUAL
CC-000094,CON-01194,2023-01-17,-6,46,recvclerk,ANNUAL
CC-000095,CON-01222,2023-01-17,0,306,scoord,ANNUAL
CC-000096,CON-01225,2023-01-17,-7,47,kbuyer,ANNUAL
CC-000097,CON-01228,2023-01-17,-2,109,pmgr,ANNUAL
CC-000098,CON-01240,2023-01-17,0,156,recvclerk,ANNUAL
CC-000099,CON-01248,2023-01-17,0,91,kbuyer,ANNUAL
CC-000100,CON-01249,2023-01-17,-42,139,pmgr,ANNUAL
CC-000101,CON-01278,2023-01-17,0,212,scoord,ANNUAL
CC-000102,CON-01284,2023-01-17,-60,68,pmgr,ANNUAL
CC-000103,CON-01285,2023-01-17,0,244,pmgr,ANNUAL
CC-000104,ELE-00001,2023-01-17,-21,1159,scoord,ANNUAL
CC-000105,ELE-00009,2023-01-17,-9,12,pmgr,ANNUAL
CC-000106,ELE-00014,2023-01-17,-11,29,kbuyer,ANNUAL
CC-000107,ELE-00016,2023-01-17,0,86,kbuyer,ANNUAL
CC-000108,ELE-00026-A,2023-01-17,-7,101,jbuyer,ANNUAL
CC-000109,ELE-00026-B,2023-01-17,8,42,kbuyer,ANNUAL
CC-000110,ELE-00034,2023-01-17,0,9,pmgr,ANNUAL
CC-000111,ELE-00037,2023-01-17,0,35,scoord,ANNUAL
CC-000112,ELE-00040,2023-01-17,-12,67,kbuyer,ANNUAL
CC-000113,ELE-00056,2023-01-17,-4,43,kbuyer,ANNUAL
CC-000114,ELE-00057,2023-01-17,-59,1078,jbuyer,ANNUAL
CC-000115,ELE-00061,2023-01-17,-11,39,kbuyer,ANNUAL
CC-000116,ELE-00062,2023-01-17,0,64,recvclerk,ANNUAL
CC-000117,ELE-00065,2023-01-17,-5,61,scoord,ANNUAL
CC-000118,ELE-00066,2023-01-17,-24,80,kbuyer,ANNUAL
CC-000119,ELE-00069,2023-01-17,-5,415,pmgr,ANNUAL
CC-000120,ELE-00078-A,2023-01-17,0,210,pmgr,ANNUAL
CC-000121,ELE-00078-B,2023-01-17,11,201,scoord,ANNUAL
CC-000122,ELE-00078-C,2023-01-17,-5,175,recvclerk,ANNUAL
CC-000123,ELE-00087,2023-01-17,0,67,jbuyer,ANNUAL
CC-000124,ELE-00089,2023-01-17,-33,248,scoord,ANNUAL
CC-000125,ELE-00092,2023-01-17,-28,318,scoord,ANNUAL
CC-000126,ELE-00106,2023-01-17,0,12,scoord,ANNUAL
CC-000127,ELE-00110,2023-01-17,-65,46,kbuyer,ANNUAL
CC-000128,ELE-00113,2023-01-17,-7,55,recvclerk,ANNUAL
CC-000129,ELE-00118,2023-01-17,-20,35,jbuyer,ANNUAL
CC-000130,ELE-00125,2023-01-17,-37,47,jbuyer,ANNUAL
CC-000131,ELE-00137,2023-01-17,-25,135,jbuyer,ANNUAL
CC-000132,ELE-00140,2023-01-17,-7,19,kbuyer,ANNUAL
CC-000133,ELE-00141-A,2023-01-17,-8,103,kbuyer,ANNUAL
CC-000134,ELE-00141-B,2023-01-17,0,212,pmgr,ANNUAL
CC-000135,ELE-00143,2023-01-17,0,51,pmgr,ANNUAL
CC-000136,ELE-00144,2023-01-17,0,36,kbuyer,ANNUAL
CC-000137,ELE-00147,2023-01-17,-45,115,scoord,ANNUAL
CC-000138,ELE-00148,2023-01-17,0,131,recvclerk,ANNUAL
CC-000139,ELE-00153,2023-01-17,-7,7,recvclerk,ANNUAL
CC-000140,ELE-00164,2023-01-17,-46,23,scoord,ANNUAL
CC-000141,ELE-00171,2023-01-17,0,39,scoord,ANNUAL
CC-000142,ELE-00176,2023-01-17,-2,21,recvclerk,ANNUAL
CC-000143,ELE-00182,2023-01-17,0,136,kbuyer,ANNUAL
CC-000144,ELE-00202,2023-01-17,0,232,jbuyer,ANNUAL
CC-000145,ELE-00209,2023-01-17,-14,34,jbuyer,ANNUAL
CC-000146,ELE-00221,2023-01-17,-8,12,pmgr,ANNUAL
CC-000147,ELE-00227,2023-01-17,0,34,recvclerk,ANNUAL
CC-000148,ELE-00236,2023-01-17,2,194,pmgr,ANNUAL
CC-000149,ELE-00243,2023-01-17,-14,414,pmgr,ANNUAL
CC-000150,ELE-00249,2023-01-17,0,17,scoord,ANNUAL
CC-000151,ELE-00252,2023-01-17,-13,66,recvclerk,ANNUAL
CC-000152,ELE-00277,2023-01-17,-206,99,recvclerk,ANNUAL
CC-000153,ELE-00284,2023-01-17,-16,256,scoord,ANNUAL
CC-000154,ELE-00288,2023-01-17,-16,105,jbuyer,ANNUAL
CC-000155,ELE-00302,2023-01-17,-70,54,recvclerk,ANNUAL
CC-000156,ELE-00303,2023-01-17,0,52,scoord,ANNUAL
CC-000157,ELE-00305,2023-01-17,0,30,recvclerk,ANNUAL
CC-000158,ELE-00310,2023-01-17,0,83,scoord,ANNUAL
CC-000159,ELE-00321,2023-01-17,-3,89,jbuyer,ANNUAL
CC-000160,ELE-00323,2023-01-17,-11,40,kbuyer,ANNUAL
CC-000161,ELE-00327,2023-01-17,-13,54,kbuyer,ANNUAL
CC-000162,ELE-00352,2023-01-17,-2,383,kbuyer,ANNUAL
CC-000163,ELE-00353,2023-01-17,-5,84,scoord,ANNUAL
CC-000164,ELE-00354,2023-01-17,0,34,scoord,ANNUAL
CC-000165,ELE-00355,2023-01-17,-6,67,scoord,ANNUAL
CC-000166,ELE-00358,2023-01-17,-8,286,kbuyer,ANNUAL
CC-000167,ELE-00377,2023-01-17,-14,67,recvclerk,ANNUAL
CC-000168,ELE-00380,2023-01-17,-19,138,recvclerk,ANNUAL
CC-000169,ELE-00383,2023-01-17,-27,181,scoord,ANNUAL
CC-000170,ELE-00395,2023-01-17,-5,382,scoord,ANNUAL
CC-000171,ELE-00398,2023-01-17,-28,47,kbuyer,ANNUAL
CC-000172,ELE-00399,2023-01-17,-35,19,jbuyer,ANNUAL
CC-000173,ELE-00437,2023-01-17,-3,26,kbuyer,ANNUAL
CC-000174,ELE-00457,2023-01-17,-9513,89,recvclerk,ANNUAL
CC-000175,ELE-00460,2023-01-17,-10,66,scoord,ANNUAL
CC-000176,ELE-00464,2023-01-17,0,108,scoord,ANNUAL
CC-000177,ELE-00469-4,2023-01-17,95,124,recvclerk,ANNUAL
CC-000178,ELE-00469-A,2023-01-17,0,206,pmgr,ANNUAL
CC-000179,ELE-00469-B,2023-01-17,127,121,kbuyer,ANNUAL
CC-000180,ELE-00469-C,2023-01-17,112,43,jbuyer,ANNUAL
CC-000181,ELE-00471,2023-01-17,-87,87,scoord,ANNUAL
CC-000182,ELE-00476,2023-01-17,0,107,scoord,ANNUAL
CC-000183,ELE-00486,2023-01-17,-6,255,kbuyer,ANNUAL
CC-000184,ELE-00488,2023-01-17,-26,41,jbuyer,ANNUAL
CC-000185,ELE-00489,2023-01-17,-19,249,scoord,ANNUAL
CC-000186,ELE-00495,2023-01-17,-6,60,jbuyer,ANNUAL
CC-000187,ELE-00496,2023-01-17,-5,168,pmgr,ANNUAL
CC-000188,ELE-00499,2023-01-17,0,162,pmgr,ANNUAL
CC-000189,ELE-00503,2023-01-17,0,47,recvclerk,ANNUAL
CC-000190,ELE-00504,2023-01-17,0,27,pmgr,ANNUAL
CC-000191,ELE-00508-A,2023-01-17,-28,547,kbuyer,ANNUAL
CC-000192,ELE-00508-B,2023-01-17,-19,406,jbuyer,ANNUAL
CC-000193,ELE-00536,2023-01-17,-20,947,kbuyer,ANNUAL
CC-000194,ELE-00541,2023-01-17,0,169,pmgr,ANNUAL
CC-000195,ELE-00545,2023-01-17,-15,56,kbuyer,ANNUAL
CC-000196,ELE-00549-4,2023-01-17,0,54,recvclerk,ANNUAL
CC-000197,ELE-00549-A,2023-01-17,0,72,scoord,ANNUAL
CC-000198,ELE-00549-B,2023-01-17,0,65,pmgr,ANNUAL
CC-000199,ELE-00549-C,2023-01-17,0,89,scoord,ANNUAL
CC-000200,ELE-00550,2023-01-17,0,108,recvclerk,ANNUAL
